Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
Brooks Laboratories Limited,65.54656602500884,6.530334,8.602,14.551873906103149,5.2030721163794205
BSE Limited,91.828865,17.897163,89.8259119818285,14.551873906103149,5.2030721163794205
Bombay Super Hybrid Seeds Limited,68.638885,17.6521,40.926,29.016,12.994
BSL Limited,29.90685,2.9910948,388.009,14.551873906103149,5.2030721163794205
Birlasoft Limited,26.101002,4.903293,4.472,20.715,11.505
Bodhi Tree Multimedia Limited,65.54656602500884,4.7627735,21.586,14.551873906103149,5.2030721163794205
Burnpur Cement Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Butterfly Gandhimathi Appliances Limited,65.54656602500884,4.90607,1.278,14.551873906103149,5.2030721163794205
Barak Valley Cements Limited,28.316092,0.9073832,40.48,14.551873906103149,5.2030721163794205
The Byke Hospitality Limited,71.162964,2.231073,29.454,14.551873906103149,5.2030721163794205
California Software Company Limited,42.899998,2.1298249,74.178,5.140000000000001,2.3559999
Camlin Fine Sciences Limited,65.54656602500884,2.4646578,79.705,14.551873906103149,5.2030721163794205
Campus Activewear Limited,91.90251,12.830362,31.61,15.142,7.332
Computer Age Management Services Limited,57.2446,23.427832,9.19,45.694,23.597999
Canara Bank,5.7334094,0.8937619,89.8259119818285,16.986999,1.04600005
Can Fin Homes Limited,11.792728,2.0580754,716.121,18.937999,2.2149999
Cantabil Retail India Limited,36.546444,6.853863,102.903,14.551873906103149,5.2030721163794205
Capacit'e Infraprojects Limited,19.914299,2.4623399,21.684,14.551873906103149,5.2030721163794205
Capital Small Finance Bank Limited,10.314136,0.98044795,89.8259119818285,12.187000000000001,1.3419999999999999
Caplin Point Laboratories Limited,37.35553,7.441006,0.094,21.243000000000002,12.741
Capital Trust Limited,88.52713,2.4146316,104.413,14.551873906103149,5.2030721163794205
Carborundum Universal Limited,51.411903,7.2907634,5.161,15.06,8.851
Career Point Limited,11.347112,1.3245792,6.505,14.551873906103149,5.2030721163794205
CARE Ratings Limited,35.309967,5.35698,2.722,16.053,8.709999999999999
CarTrade Tech Limited,86.37569,3.4704201,5.514,4.507,1.641
