Ticker,Company Name,Sector,Industry,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
PLASTIBLEN.NS,Plastiblends India Limited,Basic Materials,Specialty Chemicals,18.142426,1.4807274,1.86,0.084130004,0.04741
PLAZACABLE.NS,Plaza Wires Limited,Industrials,Electrical Equipment & Parts,176.26668,2.9036863,34.571,,
PNB.NS,Punjab National Bank,Financial Services,Banks - Regional,7.727134,0.88365525,,0.12420999,0.0089300005
PNBGILTS.NS,PNB Gilts Ltd.,Financial Services,Capital Markets,9.1418085,1.3648144,1463.949,0.16018999,0.00925
PNBHOUSING.NS,PNB Housing Finance Limited,Financial Services,Mortgage Finance,13.075073,1.3800324,249.104,0.111719996,0.0231
PNC.NS,Pritish Nandy Communications Ltd,Communication Services,Entertainment,27.054794,11.691003,1.514,,
PNCINFRA.NS,PNC Infratech Limited,Industrials,Engineering & Construction,6.3524423,1.5187576,154.785,,
PNGJL.NS,,Consumer Cyclical,Luxury Goods,52.89157,15.510313,85.182,,
POCL.NS,Pondy Oxides And Chemicals Limited,Basic Materials,Specialty Chemicals,45.430084,5.9029803,37.281,0.15172,0.093739994
PODDARMENT.NS,Poddar Pigments Limited,Basic Materials,Specialty Chemicals,13.532468,1.0217603,,0.08067001,0.0476
POKARNA.NS,Pokarna Limited,Industrials,Building Products & Equipment,30.685242,6.082503,67.705,,
POLICYBZR.NS,PB Fintech Limited,Financial Services,Insurance Brokers,460.08694,15.677732,5.473,0.03542,-0.0155
